State,County,Year,Poverty_Rate,Median_Household_Income,Total_Population,Pct_Employed_Management,Pct_Employed_Service,Pct_Employed_Sales,Pct_Employed_Construction,Pct_Employed_Production,Center_Care_Medium_Price_Infant,Family_Care_Medium_Price_Infant,Family_Care_to_Center_Care_Discount%,Center_Care_Price_Quartile,Family_Care_Price_Quartile
Nebraska,Furnas County,2019,11.0,48838,4747,37.0,17.0,17.8,15.1,13.1,125.0,160.0,-0.28,Q2,Q4 (High Cost)
Kentucky,Trigg County,2018,10.6,52279,14344,32.2,14.0,19.3,9.8,24.6,113.55,95.9,0.1554,Q2,Q2
Nevada,Douglas County,2009,7.8,63531,45674,33.7,17.8,27.0,12.1,9.4,179.96,162.64,0.0962,Q4 (High Cost),Q4 (High Cost)
New Jersey,Atlantic County,2019,13.3,62110,266105,32.2,28.6,21.2,8.6,9.4,238.33,165.11,0.3072,Q4 (High Cost),Q4 (High Cost)
Ohio,Seneca County,2021,12.2,56043,55166,27.3,16.2,17.5,9.4,29.5,175.41,153.04,0.1275,Q3,Q4 (High Cost)
West Virginia,Berkeley County,2014,14.6,55100,107324,31.8,17.2,24.9,9.9,16.2,172.69,123.35,0.2857,Q3,Q3
Florida,Manatee County,2020,11.0,59963,393847,35.2,20.0,24.3,9.4,11.1,194.04,154.17,0.2055,Q4 (High Cost),Q4 (High Cost)
Minnesota,Isanti County,2011,8.2,58721,37910,28.1,15.0,25.1,14.5,17.3,195.0,145.0,0.2564,Q4 (High Cost),Q4 (High Cost)
Virginia,Bath County,2014,9.3,46153,4644,25.7,28.8,20.1,11.2,14.3,150.0,130.0,0.1333,Q3,Q3
Illinois,Jersey County,2018,9.2,56747,22069,35.2,18.6,18.4,9.7,18.1,167.65,125.0,0.2544,Q3,Q3
Iowa,Dickinson County,2017,8.1,59889,17000,36.1,14.6,21.2,11.5,16.7,180.41,118.45,0.3434,Q4 (High Cost),Q3
Michigan,Charlevoix County,2020,9.7,60433,26197,34.0,19.8,19.5,10.1,16.6,133.2,133.2,0.0,Q2,Q3
Nebraska,Lincoln County,2018,12.2,56794,35433,31.3,16.3,20.5,14.3,17.6,129.1,135.0,-0.0457,Q2,Q3
Nebraska,Otoe County,2018,11.2,54828,15896,31.8,18.1,20.7,13.5,15.9,129.1,135.0,-0.0457,Q2,Q3
Texas,Winkler County,2015,13.9,55756,7576,20.6,16.2,19.2,24.4,19.7,120.75,105.7,0.1246,Q2,Q2
Washington,Clallam County,2010,14.3,44398,70638,30.9,22.3,22.3,13.5,11.1,244.62,157.38,0.3566,Q4 (High Cost),Q4 (High Cost)
California,Sonoma County,2012,11.5,63565,483456,35.0,19.8,25.3,10.3,9.5,314.3,203.03,0.354,Q4 (High Cost),Q4 (High Cost)
Illinois,Madison County,2014,13.9,53912,267937,33.9,17.5,24.9,9.1,14.6,232.45,143.75,0.3816,Q4 (High Cost),Q4 (High Cost)
New York,Orleans County,2020,13.8,52958,40624,29.5,17.5,20.6,15.1,17.3,219.0,163.33,0.2542,Q4 (High Cost),Q4 (High Cost)
Virginia,Orange County,2014,12.6,63538,34239,34.3,17.8,20.5,15.9,11.6,200.0,128.33,0.3583,Q4 (High Cost),Q3
Texas,Coleman County,2020,14.7,46948,8281,31.3,14.4,20.8,12.8,20.7,144.7,121.9,0.1576,Q3,Q3
West Virginia,Webster County,2022,17.8,43409,8362,23.5,22.2,12.3,20.4,21.6,170.66,149.0,0.1269,Q3,Q4 (High Cost)
Minnesota,Lyon County,2019,14.1,57730,25758,34.8,17.0,20.2,10.8,17.2,186.0,128.33,0.3101,Q4 (High Cost),Q3
Georgia,Webster County,2020,24.7,31629,2587,25.3,21.6,21.7,10.3,21.0,104.0,97.0,0.0673,Q1 (Low Cost),Q2
Illinois,Macon County,2019,17.0,50480,105528,32.6,18.9,21.5,8.8,18.2,183.47,130.53,0.2885,Q4 (High Cost),Q3
Pennsylvania,Mifflin County,2020,13.9,52641,46179,27.3,20.2,17.5,12.0,23.1,193.75,126.25,0.3484,Q4 (High Cost),Q3
South Carolina,Lexington County,2016,13.7,55412,277702,36.9,15.0,26.0,10.4,11.7,143.75,107.5,0.2522,Q3,Q2
Minnesota,Itasca County,2019,12.2,55139,45141,32.4,19.8,20.5,13.4,13.9,186.0,156.67,0.1577,Q4 (High Cost),Q4 (High Cost)
Kentucky,Daviess County,2019,16.6,51673,100474,31.7,18.0,22.0,8.9,19.4,125.09,106.16,0.1513,Q2,Q2
Kentucky,Franklin County,2019,12.4,56274,50529,36.8,17.0,23.5,8.4,14.4,143.85,119.02,0.1726,Q3,Q3
Montana,Park County,2020,12.0,53082,16513,34.3,22.9,16.6,15.7,10.5,199.05,159.0,0.2012,Q4 (High Cost),Q4 (High Cost)
Washington,Chelan County,2020,10.8,61304,76653,32.7,19.5,18.4,15.4,13.9,204.2,187.84,0.0801,Q4 (High Cost),Q4 (High Cost)
Illinois,Kane County,2012,11.0,68674,514891,34.1,15.1,26.5,7.9,16.5,260.0,150.0,0.4231,Q4 (High Cost),Q4 (High Cost)
Pennsylvania,Northumberland County,2019,13.2,48671,91761,29.1,20.0,19.8,9.0,22.1,149.38,131.25,0.1214,Q3,Q3
Virginia,Appomattox County,2020,13.5,55457,15814,32.2,16.9,24.8,13.4,12.7,133.33,141.67,-0.0626,Q2,Q4 (High Cost)
Illinois,Cook County,2009,15.1,53903,5257001,36.4,16.9,26.0,7.2,13.5,226.28,145.0,0.3592,Q4 (High Cost),Q4 (High Cost)
Illinois,Rock Island County,2019,14.0,54858,143873,30.8,19.1,20.8,8.1,21.3,246.67,164.83,0.3318,Q4 (High Cost),Q4 (High Cost)
Tennessee,Marshall County,2019,14.0,53197,32965,24.3,14.5,22.5,12.6,26.1,128.01,95.83,0.2514,Q2,Q2
Georgia,Banks County,2020,13.6,50912,18900,31.8,14.3,19.3,12.7,22.0,104.0,97.0,0.0673,Q1 (Low Cost),Q2
Nevada,Mineral County,2009,20.9,30217,4724,27.2,21.5,25.2,9.8,16.4,121.46,109.77,0.0962,Q2,Q2
North Dakota,Rolette County,2018,29.3,39884,14603,37.4,22.1,17.3,13.7,9.4,142.07,102.67,0.2773,Q3,Q2
Ohio,Miami County,2017,9.9,54568,104081,31.7,16.0,21.7,8.7,21.8,178.47,148.08,0.1703,Q4 (High Cost),Q4 (High Cost)
Texas,Ector County,2016,12.4,58335,153177,23.1,15.4,26.0,17.5,18.0,123.3,112.25,0.0896,Q2,Q2
Alabama,Coffee County,2020,15.4,56799,52238,33.4,15.5,19.6,12.9,18.6,108.15,95.14,0.1203,Q1 (Low Cost),Q2
Illinois,Logan County,2019,9.3,57308,29003,31.3,17.6,21.0,11.1,19.1,167.65,133.33,0.2047,Q3,Q3
Kansas,Phillips County,2021,14.2,53919,5022,37.6,16.4,14.3,15.3,16.5,98.4,97.2,0.0122,Q1 (Low Cost),Q2
South Carolina,Edgefield County,2021,16.4,55183,25938,28.3,16.4,21.5,13.1,20.8,116.77,125.1,-0.0713,Q2,Q3
Illinois,Clark County,2018,12.6,54158,15836,27.6,16.7,19.4,11.6,24.7,167.65,125.0,0.2544,Q3,Q3
Ohio,Washington County,2021,13.6,54167,59942,32.2,19.3,18.8,12.1,17.6,166.13,151.5,0.0881,Q3,Q4 (High Cost)
Texas,Lipscomb County,2020,11.3,63182,3301,25.6,17.8,20.9,15.6,20.1,154.8,134.9,0.1286,Q3,Q3
Wisconsin,Oconto County,2016,9.0,54018,37475,28.5,15.1,19.8,14.5,22.1,186.0,140.0,0.2473,Q4 (High Cost),Q3
Georgia,Jackson County,2016,13.5,54246,62131,31.0,16.6,26.2,10.1,16.1,125.0,100.0,0.2,Q2,Q2
Nebraska,Madison County,2019,14.9,53188,35080,29.9,17.3,19.0,12.3,21.5,125.0,160.0,-0.28,Q2,Q4 (High Cost)
Texas,Oldham County,2017,11.1,62426,2083,35.3,15.6,23.6,11.9,13.7,137.6,116.7,0.1519,Q2,Q3
Illinois,Ogle County,2015,10.6,54849,52397,31.3,16.3,20.7,9.9,21.8,232.48,146.88,0.3682,Q4 (High Cost),Q4 (High Cost)
Maine,Cumberland County,2013,11.4,57461,283046,43.2,17.0,23.8,8.0,8.0,225.0,160.0,0.2889,Q4 (High Cost),Q4 (High Cost)
Texas,San Jacinto County,2013,20.1,46107,26669,26.1,19.2,18.3,16.8,19.7,110.6,96.7,0.1257,Q1 (Low Cost),Q2
Massachusetts,Suffolk County,2011,20.8,51638,713089,43.0,21.6,23.0,4.9,7.6,325.0,175.0,0.4615,Q4 (High Cost),Q4 (High Cost)
Oklahoma,Kingfisher County,2015,7.2,60034,15302,31.3,13.0,22.7,20.4,12.6,157.69,114.28,0.2753,Q3,Q3
Virginia,Waynesboro City,2019,16.8,45011,22140,30.2,19.1,22.7,10.2,17.9,171.67,136.67,0.2039,Q3,Q3
Iowa,Bremer County,2016,7.3,64264,24663,35.3,15.7,23.5,9.2,16.3,161.7,105.58,0.3471,Q3,Q2
New Jersey,Cape May County,2018,11.1,63690,93705,34.9,22.5,23.8,10.5,8.4,248.88,161.01,0.3531,Q4 (High Cost),Q4 (High Cost)
South Dakota,Brown County,2017,11.0,53807,38637,33.3,15.9,24.0,10.2,16.6,126.8,85.68,0.3243,Q2,Q1 (Low Cost)
Georgia,Webster County,2019,22.4,37297,2610,32.7,16.9,19.2,13.4,17.8,101.75,94.0,0.0762,Q1 (Low Cost),Q1 (Low Cost)
Washington,Kitsap County,2011,9.8,61112,249238,37.6,18.7,22.8,11.4,9.7,241.04,158.65,0.3418,Q4 (High Cost),Q4 (High Cost)
Montana,Sheridan County,2017,12.2,51940,3568,36.2,18.8,22.0,14.6,8.3,158.42,120.22,0.2411,Q3,Q3
Virginia,Charlottesville City,2020,23.1,59598,47217,56.6,18.8,14.2,3.8,6.7,260.0,141.67,0.4551,Q4 (High Cost),Q4 (High Cost)
Iowa,Dubuque County,2018,11.7,61321,96802,35.3,16.7,23.3,8.1,16.6,178.04,117.51,0.34,Q4 (High Cost),Q3
Wyoming,Converse County,2015,9.4,62307,14101,26.6,19.0,19.4,21.6,13.4,127.41,100.66,0.21,Q2,Q2
Wisconsin,Columbia County,2011,8.7,57805,56569,29.0,16.0,25.1,12.1,17.9,191.0,145.0,0.2408,Q4 (High Cost),Q4 (High Cost)
Illinois,Kane County,2013,11.1,69530,518380,33.5,15.8,26.7,7.8,16.2,264.45,156.0,0.4101,Q4 (High Cost),Q4 (High Cost)
Iowa,Sioux County,2020,5.5,73260,34900,39.6,14.3,18.6,12.5,14.9,162.16,108.22,0.3326,Q3,Q2
Ohio,Coshocton County,2021,19.1,49297,36621,29.8,17.4,16.8,14.3,21.7,166.13,151.5,0.0881,Q3,Q4 (High Cost)
Virginia,Appomattox County,2014,18.2,47927,15137,29.6,15.5,23.0,14.1,17.8,122.67,100.0,0.1848,Q2,Q2
Minnesota,Ramsey County,2014,16.8,55460,521265,43.0,16.9,23.4,5.3,11.5,325.0,170.0,0.4769,Q4 (High Cost),Q4 (High Cost)
Kansas,Wilson County,2021,16.2,52514,8713,35.1,15.4,16.1,10.4,23.0,98.4,97.2,0.0122,Q1 (Low Cost),Q2
New York,Chemung County,2019,13.9,54940,84895,35.0,21.1,21.4,8.3,14.3,205.0,150.0,0.2683,Q4 (High Cost),Q4 (High Cost)
Massachusetts,Barnstable County,2009,6.5,60096,222629,36.0,19.9,26.1,11.6,6.5,250.0,200.0,0.2,Q4 (High Cost),Q4 (High Cost)
Tennessee,Houston County,2022,13.4,51544,8253,24.4,12.3,20.6,18.3,24.5,130.99,90.83,0.3066,Q2,Q1 (Low Cost)
New York,Cayuga County,2017,11.6,54664,78319,33.8,18.8,22.2,11.0,14.2,235.22,169.86,0.2779,Q4 (High Cost),Q4 (High Cost)
Georgia,Taliaferro County,2022,18.9,45881,1635,19.9,27.7,17.1,6.9,28.4,108.5,103.0,0.0507,Q1 (Low Cost),Q2
Iowa,Palo Alto County,2020,5.7,56437,8941,33.1,14.4,20.6,12.4,19.6,147.8,98.67,0.3324,Q3,Q2
South Carolina,York County,2015,13.5,54117,240076,36.2,15.4,26.9,8.0,13.6,137.5,100.0,0.2727,Q2,Q2
Iowa,Des Moines County,2020,14.9,51784,39227,29.9,17.1,22.5,7.9,22.6,164.16,109.57,0.3325,Q3,Q2
Kentucky,Allen County,2021,18.4,47495,20604,30.3,14.5,20.4,11.2,23.6,135.67,116.49,0.1414,Q2,Q3
Nebraska,Webster County,2020,7.9,51684,3497,37.8,13.6,18.6,15.8,14.1,145.75,142.5,0.0223,Q3,Q4 (High Cost)
South Dakota,Turner County,2016,10.3,54707,8289,36.0,18.4,17.3,13.5,14.9,99.1,81.86,0.174,Q1 (Low Cost),Q1 (Low Cost)
North Carolina,Wilkes County,2022,17.1,49119,66125,28.3,18.9,19.1,10.4,23.4,183.16,125.52,0.3147,Q4 (High Cost),Q3
North Dakota,Richland County,2018,9.4,61990,16288,34.1,14.5,17.0,12.0,22.3,150.6,108.83,0.2774,Q3,Q2
Ohio,Hancock County,2017,12.1,52831,75508,32.8,16.7,19.8,8.1,22.7,178.47,148.08,0.1703,Q4 (High Cost),Q4 (High Cost)
Texas,Van Zandt County,2019,13.6,54654,55103,30.7,18.3,21.8,15.4,13.7,128.73,114.15,0.1133,Q2,Q3
Virginia,Westmoreland County,2017,9.5,55688,17596,33.8,17.8,24.1,13.1,11.2,165.0,131.67,0.202,Q3,Q3
Washington,Garfield County,2020,8.3,56923,2258,36.9,19.9,19.5,12.2,11.6,204.2,187.84,0.0801,Q4 (High Cost),Q4 (High Cost)
Wisconsin,Langlade County,2020,12.7,52074,19167,27.3,15.5,22.0,14.6,20.7,190.0,127.5,0.3289,Q4 (High Cost),Q3
Louisiana,Bossier Parish,2017,16.4,52145,125698,37.0,17.6,24.1,11.4,9.9,127.0,107.5,0.1535,Q2,Q2
Nebraska,Box Butte County,2019,14.1,54004,10970,31.4,13.0,16.1,14.1,25.4,125.0,160.0,-0.28,Q2,Q4 (High Cost)
Nebraska,Hall County,2019,11.8,57104,61265,27.5,16.6,20.4,11.4,24.1,125.0,160.0,-0.28,Q2,Q4 (High Cost)
Pennsylvania,Sullivan County,2020,11.5,49830,6038,28.8,20.9,13.2,20.7,16.4,216.0,155.0,0.2824,Q4 (High Cost),Q4 (High Cost)
South Dakota,Perkins County,2022,11.9,64410,2970,42.1,13.9,16.9,16.0,11.1,120.0,100.0,0.1667,Q2,Q2
Massachusetts,Hampden County,2014,17.7,50036,466447,33.5,21.2,24.8,7.9,12.7,260.0,175.0,0.3269,Q4 (High Cost),Q4 (High Cost)
Kansas,Ellsworth County,2020,8.6,56306,6176,37.4,19.8,17.9,10.1,14.8,101.2,96.0,0.0514,Q1 (Low Cost),Q2
Vermont,Addison County,2019,7.2,68825,36882,41.8,15.2,18.8,12.5,11.7,285.1,188.27,0.3396,Q4 (High Cost),Q4 (High Cost)
Kentucky,Simpson County,2020,12.4,50159,18319,24.1,15.3,23.1,8.7,28.7,125.13,109.24,0.127,Q2,Q2
New Hampshire,Cheshire County,2019,9.0,64751,76042,39.7,17.3,20.2,9.1,13.8,228.44,164.68,0.2791,Q4 (High Cost),Q4 (High Cost)
Virginia,Lee County,2022,26.0,41619,22287,31.5,21.0,17.9,13.3,16.2,118.59,93.16,0.2144,Q2,Q1 (Low Cost)
Arkansas,Hempstead County,2021,24.6,43592,20352,27.8,16.4,15.2,14.2,26.4,102.5,92.5,0.0976,Q1 (Low Cost),Q1 (Low Cost)
Kansas,McPherson County,2018,9.9,57765,28630,36.1,17.8,17.2,9.3,19.8,106.8,93.6,0.1236,Q1 (Low Cost),Q1 (Low Cost)
Texas,Smith County,2020,14.0,59450,230184,33.9,18.8,22.1,9.9,15.3,132.7,116.85,0.1194,Q2,Q3
Georgia,DeKalb County,2016,19.0,52623,723902,43.3,16.5,23.8,5.7,10.6,175.0,145.0,0.1714,Q3,Q4 (High Cost)
Idaho,Boise County,2021,11.6,64125,7549,41.2,16.2,22.5,11.7,8.5,155.67,123.46,0.2069,Q3,Q3
Michigan,Macomb County,2009,8.9,55466,828469,32.5,16.5,27.2,8.7,15.1,136.74,117.21,0.1428,Q2,Q3
North Dakota,Kidder County,2014,8.7,56058,2434,42.4,14.8,18.2,13.4,11.1,117.52,85.58,0.2718,Q2,Q1 (Low Cost)
Virginia,Highland County,2022,10.3,57070,2247,41.4,11.2,21.1,17.4,8.8,191.21,163.52,0.1448,Q4 (High Cost),Q4 (High Cost)
Florida,Hendry County,2022,22.3,49259,39902,21.7,16.5,21.6,23.5,16.7,175.0,160.0,0.0857,Q3,Q4 (High Cost)
Iowa,Wright County,2017,12.6,48935,12864,28.2,16.5,18.7,11.5,25.2,145.31,95.4,0.3435,Q3,Q2
Kentucky,McLean County,2017,19.2,44242,9361,25.1,13.0,21.8,16.3,23.8,110.0,90.0,0.1818,Q1 (Low Cost),Q1 (Low Cost)
Virginia,Amherst County,2019,14.0,52888,31775,29.1,19.9,21.9,10.2,18.9,133.33,133.33,0.0,Q2,Q3
Alabama,St. Clair County,2016,13.7,54042,86576,29.4,15.5,26.6,11.9,16.6,154.53,106.56,0.3104,Q3,Q2
Montana,Sweet Grass County,2021,5.2,59238,3690,31.5,16.4,14.0,27.2,10.8,205.53,160.9,0.2171,Q4 (High Cost),Q4 (High Cost)
Nevada,Humboldt County,2012,12.7,57874,16511,23.7,18.6,19.8,23.2,14.6,131.83,110.95,0.1584,Q2,Q2
Oklahoma,Cotton County,2020,18.9,49583,5783,32.5,14.5,25.0,11.8,16.2,178.41,130.53,0.2684,Q4 (High Cost),Q3
South Dakota,Hughes County,2013,11.4,59338,17238,43.0,15.7,27.0,8.8,5.5,106.78,80.54,0.2457,Q1 (Low Cost),Q1 (Low Cost)
New York,Montgomery County,2019,19.8,49462,49302,30.4,19.0,21.5,9.8,19.2,205.0,150.0,0.2683,Q4 (High Cost),Q4 (High Cost)
New York,Schenectady County,2017,12.4,61315,155239,38.1,19.1,25.9,6.7,10.2,288.34,182.36,0.3676,Q4 (High Cost),Q4 (High Cost)
South Dakota,Codington County,2019,12.9,56376,28026,31.7,15.6,22.5,10.3,20.0,136.08,92.37,0.3212,Q2,Q1 (Low Cost)
Kentucky,Scott County,2016,10.7,64329,51348,33.8,16.2,19.6,9.0,21.5,125.0,100.0,0.2,Q2,Q2
Ohio,Summit County,2017,13.6,53291,541318,37.5,17.0,26.1,6.3,13.2,238.18,165.08,0.3069,Q4 (High Cost),Q4 (High Cost)
Pennsylvania,Allegheny County,2013,12.9,51366,1226933,42.6,17.5,25.2,6.1,8.7,202.93,160.0,0.2116,Q4 (High Cost),Q4 (High Cost)
Pennsylvania,Northampton County,2012,9.6,59551,297519,34.5,16.4,25.2,8.5,15.4,175.0,150.5,0.14,Q3,Q4 (High Cost)
Florida,Orange County,2020,14.2,61416,1373784,37.9,19.7,24.0,7.7,10.7,203.76,169.21,0.1696,Q4 (High Cost),Q4 (High Cost)
Illinois,Sangamon County,2012,13.6,55355,197474,40.1,17.4,27.9,7.1,7.6,225.0,130.0,0.4222,Q4 (High Cost),Q3
Illinois,Vermilion County,2020,19.0,46842,76704,28.2,19.9,20.3,9.0,22.5,172.55,152.67,0.1152,Q3,Q4 (High Cost)
Texas,Robertson County,2021,15.8,55709,16839,25.5,24.1,21.1,13.0,16.3,173.0,152.0,0.1214,Q3,Q4 (High Cost)
Virginia,Craig County,2011,4.2,54120,5158,28.7,16.7,27.8,11.6,15.2,116.0,84.0,0.2759,Q2,Q1 (Low Cost)
Kentucky,Kenton County,2012,13.2,53900,159926,35.7,15.3,28.1,7.3,13.7,129.81,112.02,0.137,Q2,Q2
Louisiana,St. James Parish,2014,16.9,53259,21782,24.6,19.4,23.8,12.4,19.9,130.0,95.0,0.2692,Q2,Q1 (Low Cost)
Ohio,Shelby County,2015,10.3,54550,49067,27.8,15.1,19.4,9.0,28.6,156.72,142.8,0.0888,Q3,Q4 (High Cost)
Oregon,Hood River County,2019,6.2,65679,23209,35.2,16.8,16.2,20.2,11.6,285.37,153.72,0.4613,Q4 (High Cost),Q4 (High Cost)
Georgia,Harris County,2015,9.3,63824,32776,36.6,13.3,25.9,10.0,14.2,122.0,96.0,0.2131,Q2,Q2
Minnesota,Faribault County,2019,11.5,53156,13801,30.7,15.7,18.9,15.3,19.4,175.0,123.33,0.2953,Q3,Q3
West Virginia,Berkeley County,2013,13.1,53515,105812,31.7,17.1,24.1,10.7,16.4,170.12,121.52,0.2857,Q3,Q3
South Dakota,McCook County,2016,10.4,58485,5616,35.2,14.1,22.7,14.9,13.1,99.1,81.86,0.174,Q1 (Low Cost),Q1 (Low Cost)
Alabama,Autauga County,2017,13.7,55317,55036,35.3,18.0,23.2,8.1,15.4,116.79,107.1,0.083,Q2,Q2
Alabama,Tuscaloosa County,2021,15.8,57508,223945,36.4,16.4,20.8,9.2,17.2,130.0,100.0,0.2308,Q2,Q2
Illinois,De Witt County,2016,12.0,53510,16322,28.6,17.0,25.2,13.7,15.6,167.65,125.0,0.2544,Q3,Q3
Iowa,Lucas County,2017,9.9,47325,8600,26.9,16.5,28.5,12.0,16.2,153.24,100.61,0.3434,Q3,Q2
Kansas,Osborne County,2020,14.7,50774,3494,41.0,16.2,19.9,12.0,10.9,101.2,96.0,0.0514,Q1 (Low Cost),Q2
Minnesota,Big Stone County,2017,11.7,48299,5039,31.7,13.2,23.2,16.2,15.6,163.8,120.0,0.2674,Q3,Q3
Nebraska,Howard County,2018,10.5,54399,6405,36.7,13.8,21.8,10.6,17.1,129.1,135.0,-0.0457,Q2,Q3
South Carolina,Anderson County,2020,13.6,53598,200183,35.7,15.5,19.5,9.2,20.0,179.36,128.52,0.2835,Q4 (High Cost),Q3
Texas,Cass County,2020,17.5,47539,30002,27.8,19.6,19.1,12.6,20.8,130.75,114.25,0.1262,Q2,Q3
Alabama,Montgomery County,2021,19.6,52511,229072,37.0,16.8,23.0,5.6,17.6,140.0,130.0,0.0714,Q2,Q3
Illinois,Jersey County,2017,9.4,56320,22215,33.0,18.3,23.0,10.2,15.5,167.65,125.0,0.2544,Q3,Q3
Texas,Hopkins County,2021,12.5,57745,36666,31.0,14.7,20.4,14.5,19.3,134.0,118.0,0.1194,Q2,Q3
Connecticut,Windham County,2013,11.4,59333,118115,30.6,20.6,24.0,10.1,14.8,204.5,170.0,0.1687,Q4 (High Cost),Q4 (High Cost)
Illinois,Kankakee County,2019,14.2,58902,110637,30.8,18.0,20.6,9.4,21.2,226.67,155.23,0.3152,Q4 (High Cost),Q4 (High Cost)
North Dakota,Bottineau County,2015,8.5,56349,6634,35.3,17.0,19.5,17.3,10.9,139.96,100.52,0.2818,Q2,Q2
Utah,Davis County,2016,7.2,72661,329292,40.5,14.2,26.7,7.2,11.3,167.65,129.81,0.2257,Q3,Q3
Vermont,Grand Isle County,2015,8.6,62608,6952,38.4,14.2,26.3,11.0,10.2,231.64,161.14,0.3044,Q4 (High Cost),Q4 (High Cost)
Minnesota,Meeker County,2016,9.4,58574,23094,32.7,14.6,18.6,11.3,22.8,206.0,127.0,0.3835,Q4 (High Cost),Q3
Nebraska,Burt County,2018,11.7,51482,6528,33.6,15.7,22.2,17.1,11.4,129.1,135.0,-0.0457,Q2,Q3
New York,Chenango County,2019,13.5,52002,47909,33.2,17.1,20.0,11.1,18.7,205.0,150.0,0.2683,Q4 (High Cost),Q4 (High Cost)
Kansas,Ottawa County,2014,9.1,60098,6075,35.1,13.7,20.0,13.5,17.8,99.4,80.7,0.1881,Q1 (Low Cost),Q1 (Low Cost)
Texas,Camp County,2020,20.1,49539,12938,26.0,15.1,19.5,13.0,26.3,132.7,116.85,0.1194,Q2,Q3
California,San Joaquin County,2018,15.9,61145,732212,27.7,18.4,21.7,13.8,18.4,293.17,193.58,0.3397,Q4 (High Cost),Q4 (High Cost)
Texas,Haskell County,2022,15.0,52786,5408,31.4,25.2,18.7,15.9,8.8,124.0,113.0,0.0887,Q2,Q2
Iowa,Boone County,2016,10.3,54513,26411,31.1,18.1,24.3,11.0,15.5,160.68,104.9,0.3471,Q3,Q2
Kentucky,Todd County,2020,21.1,47229,12334,31.3,12.0,14.9,12.4,29.4,120.64,107.71,0.1072,Q2,Q2
Oklahoma,McClain County,2014,10.7,55741,35860,32.8,17.5,24.5,14.0,11.2,157.44,112.57,0.285,Q3,Q2
Texas,Travis County,2014,17.5,59620,1092810,45.5,17.1,22.8,8.2,6.4,174.3,151.75,0.1294,Q3,Q4 (High Cost)
West Virginia,Berkeley County,2015,14.2,55239,108724,32.6,17.1,24.2,10.0,16.1,175.26,125.19,0.2857,Q3,Q3
Arizona,Maricopa County,2016,16.5,55676,4088549,37.0,18.3,26.8,8.4,9.5,222.98,100.0,0.5515,Q4 (High Cost),Q2
Minnesota,Goodhue County,2012,8.7,55603,46144,33.2,17.0,21.6,11.1,17.1,170.0,145.0,0.1471,Q3,Q4 (High Cost)
New York,Chautauqua County,2021,17.3,50408,128042,33.0,19.9,19.4,9.7,18.0,233.0,176.67,0.2418,Q4 (High Cost),Q4 (High Cost)
Idaho,Blaine County,2014,10.8,62489,21269,34.3,23.9,23.3,14.0,4.6,186.19,172.27,0.0748,Q4 (High Cost),Q4 (High Cost)
Minnesota,McLeod County,2014,7.8,56234,36172,32.4,16.7,20.8,9.4,20.6,175.0,110.0,0.3714,Q3,Q2
North Dakota,Barnes County,2016,9.8,55778,11033,33.1,22.0,17.1,14.4,13.3,149.94,107.67,0.2819,Q3,Q2
Texas,Comanche County,2019,11.2,53516,13529,33.3,14.6,18.5,15.6,18.1,136.48,115.78,0.1517,Q2,Q3
Florida,Brevard County,2019,11.8,56775,585507,39.3,19.0,22.5,8.6,10.6,179.28,175.0,0.0239,Q4 (High Cost),Q4 (High Cost)
Illinois,Christian County,2018,13.0,52415,33231,31.1,19.5,20.8,11.1,17.5,167.65,125.0,0.2544,Q3,Q3
Massachusetts,Bristol County,2008,10.7,55845,545225,33.1,17.9,25.5,10.1,13.5,250.0,200.0,0.2,Q4 (High Cost),Q4 (High Cost)
Nebraska,Pierce County,2017,6.8,55417,7175,33.3,13.4,20.6,12.9,19.9,133.2,110.0,0.1742,Q2,Q2
North Carolina,Iredell County,2017,12.7,55957,169798,34.5,15.7,22.7,9.5,17.7,188.15,149.31,0.2064,Q4 (High Cost),Q4 (High Cost)
North Carolina,Yadkin County,2020,14.1,46954,37589,30.2,16.6,18.8,12.3,22.1,115.74,100.54,0.1313,Q2,Q2
Iowa,Greene County,2019,8.3,53050,8950,37.6,14.3,17.4,10.5,20.3,151.19,100.43,0.3357,Q3,Q2
California,Sacramento County,2013,17.6,55064,1435207,37.5,19.3,26.8,7.8,8.6,260.38,164.48,0.3683,Q4 (High Cost),Q4 (High Cost)
Florida,Wakulla County,2016,14.3,54078,31314,31.0,19.4,28.2,13.9,7.6,138.16,132.35,0.0421,Q2,Q3
Pennsylvania,Washington County,2014,10.5,55323,208157,34.4,17.4,24.7,10.5,13.1,210.0,142.5,0.3214,Q4 (High Cost),Q4 (High Cost)
Georgia,Upson County,2021,22.4,43257,27424,31.0,17.9,18.5,10.7,21.8,106.25,100.0,0.0588,Q1 (Low Cost),Q2
Idaho,Teton County,2016,12.3,58173,10437,35.6,23.9,15.9,17.9,6.7,157.39,131.74,0.163,Q3,Q3
Minnesota,Jackson County,2017,7.7,55122,10104,34.5,15.0,19.5,11.7,19.3,168.0,112.5,0.3304,Q3,Q2
Ohio,Putnam County,2016,7.8,60245,34116,30.9,15.4,17.5,11.3,24.9,145.75,130.09,0.1074,Q3,Q3
Georgia,Brantley County,2020,18.8,34679,18924,24.1,20.5,16.0,19.0,20.3,104.0,97.0,0.0673,Q1 (Low Cost),Q2
Idaho,Camas County,2022,6.7,63750,1133,36.5,17.1,26.5,13.9,6.0,126.96,109.23,0.1397,Q2,Q2
